,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,290.98,98,40,6.26,scattered clouds
1,Barrow,US,71.2906,-156.7887,256.16,78,100,2.57,light snow
2,Saint-Philippe,RE,-21.3585,55.7679,294.92,78,36,4.52,scattered clouds
3,Airai,TL,-8.9266,125.4092,294.6,71,58,1.08,broken clouds
4,Deputatskiy,RU,69.3,139.9,234.54,95,60,2.16,broken clouds
5,Berdigestyakh,RU,62.0989,126.6992,229.44,100,61,0.59,broken clouds
6,Rudbar,AF,30.15,62.6,286.34,22,3,0.66,clear sky
7,Ponta Do Sol,PT,32.6667,-17.1,292.43,76,29,0.99,scattered clouds
8,Albany,US,42.6001,-73.9662,279.99,66,0,3.08,clear sky
9,Gold Coast,AU,-28.0,153.4333,302.73,72,40,5.66,scattered clouds
10,Caravelas,BR,-17.7125,-39.2481,296.27,96,100,2.98,overcast clouds
11,Victoria,HK,22.2855,114.1577,298.36,90,100,5.36,overcast clouds
12,Harnosand,SE,62.6323,17.9379,272.16,91,100,3.63,overcast clouds
13,Bengkulu,ID,-3.8004,102.2655,298.25,85,100,1.13,overcast clouds
14,Olinda,BR,-8.0089,-34.8553,300.0,74,40,3.09,scattered clouds
15,College,US,64.8569,-147.8028,264.33,89,75,0.0,light snow
16,Yellowknife,CA,62.456,-114.3525,262.44,92,100,4.12,light snow
17,Khatanga,RU,71.9667,102.5,255.13,97,100,6.62,light snow
18,Ushuaia,AR,-54.8,-68.3,280.96,66,0,7.2,clear sky
19,Enshi,CN,30.3,109.4833,288.98,84,68,0.32,broken clouds
20,Salcioara,RO,44.7167,25.5833,279.23,67,100,1.11,overcast clouds
21,Hasaki,JP,35.7333,140.8333,289.42,56,1,6.34,clear sky
22,Bluff,NZ,-46.6,168.3333,285.82,61,20,4.1,few clouds
23,Port Elizabeth,ZA,-33.918,25.5701,290.31,89,75,0.89,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,297.34,71,7,1.58,light rain
25,Heihe,CN,50.2441,127.4902,254.48,89,100,0.45,overcast clouds
26,Usinsk,RU,65.9939,57.5281,251.55,99,100,5.49,overcast clouds
27,Tasiilaq,GL,65.6145,-37.6368,266.9,62,100,3.21,overcast clouds
28,Port-Gentil,GA,-0.7193,8.7815,298.64,82,87,2.01,overcast clouds
29,Cidreira,BR,-30.1811,-50.2056,294.59,91,91,5.68,overcast clouds
30,Sao Filipe,CV,14.8961,-24.4956,298.54,63,0,4.42,clear sky
31,Ostrovnoy,RU,68.0531,39.5131,267.75,90,99,8.98,overcast clouds
32,Azare,NG,11.6765,10.1948,291.07,22,57,3.34,broken clouds
33,Broken Hill,AU,-31.95,141.4333,295.39,47,0,6.78,clear sky
34,Mataura,NZ,-46.1927,168.8643,285.64,38,49,1.38,scattered clouds
35,Tubuala,PA,9.5167,-79.0333,299.36,83,100,2.18,light rain
36,Codrington,AU,-38.2667,141.9667,287.42,76,89,8.32,overcast clouds
37,Sungaipenuh,ID,-2.0833,101.3833,293.94,83,100,0.83,overcast clouds
38,Yangjiang,CN,21.85,111.9667,297.28,90,64,2.82,broken clouds
39,Zharkent,KZ,44.1628,80.0,267.57,62,3,0.71,clear sky
40,Santiago Del Estero,AR,-27.7951,-64.2615,302.09,22,2,4.76,clear sky
41,Jamestown,US,42.097,-79.2353,281.88,50,0,4.12,clear sky
42,Kamenka,RU,51.3223,42.7678,273.21,86,100,5.0,overcast clouds
43,Te Anau,NZ,-45.4167,167.7167,287.02,49,24,1.54,few clouds
44,Bellevue,US,47.6104,-122.2007,281.82,87,100,7.15,overcast clouds
45,Castro,BR,-24.7911,-50.0119,288.79,98,99,2.17,overcast clouds
46,Viransehir,TR,37.2353,39.7631,283.34,79,92,3.74,overcast clouds
47,Kingsland,US,30.8,-81.6898,291.47,95,100,1.35,overcast clouds
48,Nanortalik,GL,60.1432,-45.2371,273.54,92,100,3.1,light snow
49,Nueva Loja,EC,0.0847,-76.8828,295.17,95,15,1.26,few clouds
50,Lisakovsk,KZ,52.5369,62.4936,257.66,80,100,3.73,overcast clouds
51,Shakhovskaya,RU,56.0283,35.5097,266.79,95,100,3.12,overcast clouds
52,Oksfjord,NO,70.2396,22.3479,274.25,86,100,3.83,overcast clouds
53,Kapaa,US,22.0752,-159.319,299.14,60,0,6.17,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,282.21,61,75,6.69,broken clouds
