,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
17,Khatanga,RU,255.13,light snow,71.9667,102.5,Хатанга
25,Heihe,CN,254.48,overcast clouds,50.2441,127.4902,Санкт-Петербург
26,Usinsk,RU,251.55,overcast clouds,65.9939,57.5281,общежитие Лукойл-Коми
50,Lisakovsk,KZ,257.66,overcast clouds,52.5369,62.4936,Оолит
93,Darhan,MN,257.95,overcast clouds,49.4867,105.9228,Алтан зочид буудал
107,Tuktoyaktuk,CA,254.15,light snow,69.4541,-133.0374,Hunter's B&B
112,Lavrentiya,RU,259.75,clear sky,65.5833,-171.0,Фортуна
128,Yar-Sale,RU,258.53,overcast clouds,66.8333,70.8333,ЯЛЭМД
129,Zhigalovo,RU,251.8,overcast clouds,54.8097,105.1578,Лена-ТУР
158,Qaanaaq,GL,252.95,overcast clouds,77.484,-69.3632,Hotel Qaanaaq
184,Urumqi,CN,259.68,mist,43.801,87.6005,百时快捷酒店红山店
199,Hovd,MN,253.34,overcast clouds,48.0056,91.6419,Khovd hotel
233,Ilulissat,GL,255.72,broken clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
238,Inuvik,CA,255.63,light snow,68.3499,-133.7218,Capital Suites
260,Igrim,RU,252.24,few clouds,63.1906,64.4162,Факел
268,Qasigiannguit,GL,256.92,overcast clouds,68.8193,-51.1922,Hotel Diskobay
321,Esil,KZ,253.86,overcast clouds,51.9556,66.4042,Рахат
540,Talnakh,RU,253.82,light snow,69.4865,88.3972,Талнах
666,Ust-Tsilma,RU,254.77,broken clouds,65.441,52.1498,Прасковья
